State,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
US,0,"145,025,450","66,769,990","53,700,420","21,722,220","80,992,600","287,692,220","97,957,080","9,085,078,279","144,508,430","9,218,461,445","120,001,110","6,303,276,607","47,831,960","111,370,731","27,934,800","256,489,955","25,420,950","200,835,811","22,020,510","27,811,915","23,342,210","309,555,008","22,690,110","604,338,742","13,200,730","230,308,309","27,120,440","604,905,788","1,899,760","11,446,740","70,529,321","17,495,460","221,888,250","8,323,620","535,203,164","36,509,860","133,189,744","3,751,350","948,541","936,130","20,871,677","3,963,260","26,097,106","2,538,990","11,376,414","10,665,090","10,659,944","2,097,930","4,763,019","627,740","10,922,412","45,792,280","1,259,383,237","33,476,810","282,723,244","10,611,770","16,371,257","39,192,810","172,495,925","45,453,350","484,986,029","34,416,710","327,781,408","37,490,960","198,552,435","108,894,770","6,394,098,925","108,002,290","1,260,809,000","4,246,690","32,865,460","44,454,260","66,925,849","7,138,150","19,191,236","6,243,060","3,367,301","9,966,360","10,477,850","6,879,010","1,180,482","22,822,060","27,579,392","2,322,010","1,276,952","18,543,390","48,458,244","136,439,620","1,492,264,569","27,788,100","64,221,884","24,310,450","56,411,814","20,388,790","27,329,926","9,785,660","8,708,632","96,290,800","1,193,887,913","105,396,110","1,249,910,771","24,981,640","126,877,835","111,719,240","316,194,283"
US,1,"2,248,050","1,381,410","674,380","101,280","1,510,430","3,346,940","641,240","-200,411,687","1,731,180","-197,664,227","623,690","19,998,700","813,000","5,459,617","595,330","4,450,089","538,530","3,025,452","70,030","254,735","732,980","-8,670,567","815,430","12,426,232","158,780","2,762,207","245,520","3,087,046","136,030","47,090","331,806","4,020","26,794","422,970","-40,096,211","529,370","2,600,255","8,850","2,105","3,930","65,759","136,110","726,924","12,360","56,977","81,220","95,990","92,630","324,570","10,150","254,281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,450","199,206","8,060","196,213","7,060","16,291",210,241,70,52,810,"1,042","1,050",977,"2,550","3,363",140,936,"302,710","646,470","976,310","5,815,329","238,170","264,886","156,450","179,134","105,410","162,175","162,630","153,359","7,620","183,747","353,560","917,473","199,020","392,634","821,130","3,300,803"
US,2,"22,638,580","18,078,240","1,850,490","2,408,590","11,166,520","23,004,000","5,663,120","119,219,659","22,638,430","123,494,887","16,703,600","92,959,155","3,765,660","2,250,044","2,188,060","2,931,189","1,933,730","1,737,845","210,180","116,382","3,645,380","15,588,114","1,729,580","-411,376","919,790","3,427,362","2,023,660","9,140,816","120,540","1,112,900","4,078,411","50,230","213,807","306,780","-481,844","4,005,250","4,275,243","40,360","8,627","7,130","32,323","252,320","881,477","44,660","129,486","413,730","368,656","386,780","1,116,781","11,790","18,454","927,680","14,561,330","223,690","361,283","529,660","333,991","648,010","2,162,522","874,970","3,118,469","476,110","3,656,663","527,460","642,534","2,715,490","4,489,370","2,515,760","454,800","2,010","8,837","167,070","11,560","90,980","3,444",280,63,"48,040","5,910","10,170",414,"1,840",416,650,120,"3,165,050","2,296,031","19,028,420","19,147,333","7,489,170","9,084,019","6,531,690","7,812,506","2,566,190","1,741,148","1,228,180","1,051,932","2,445,380","443,336","5,765,430","2,838,488","2,078,630","958,695","17,741,420","17,129,110"
US,3,"34,059,840","18,978,550","5,772,170","8,714,590","18,632,790","61,847,430","23,501,240","582,485,261","34,059,840","592,337,251","27,176,310","438,883,955","5,737,990","5,324,945","2,998,940","7,980,132","2,645,130","5,140,885","801,760","436,745","5,433,990","45,904,783","2,199,030","1,116,496","2,143,760","14,072,379","4,966,660","51,682,631","232,840","3,596,880","22,007,333","2,071,030","3,601,881","597,530","1,418,253","6,869,490","9,851,985","221,120","49,857","23,280","123,666","474,180","1,882,703","224,760","658,721","1,574,300","1,435,907","302,330","705,092","25,630","49,424","2,942,600","44,732,657","1,142,710","1,379,315","1,488,340","1,161,683","2,087,190","6,200,203","2,857,550","9,582,691","1,589,850","11,143,769","1,971,880","3,997,673","21,747,950","138,375,338","21,367,200","14,632,138","8,900","17,632","7,000,620","2,525,839","303,380","26,844","480,870","164,834","2,211,180","1,232,966","2,103,020","341,813","2,202,380","721,897","93,680","20,889","4,599,610","6,848,613","31,872,380","98,225,886","12,752,730","41,334,302","11,579,120","37,031,555","10,368,220","14,288,824","2,412,350","2,032,375","16,788,410","12,106,667","20,498,610","19,211,377","3,098,420","2,841,311","29,705,290","81,905,190"
US,4,"33,965,310","16,169,080","9,978,030","6,847,880","18,453,940","68,387,910","24,554,380","1,226,186,333","33,965,310","1,242,450,558","29,536,330","991,539,925","8,591,750","8,115,040","4,313,880","12,201,578","3,842,010","7,972,926","3,388,560","2,051,271","4,219,500","36,763,616","3,237,960","3,666,566","2,692,340","25,213,945","6,121,480","101,326,758","361,910","3,033,430","19,881,490","5,236,760","33,281,838","1,022,410","6,431,205","7,727,350","16,263,496","762,140","181,262","56,360","426,918","675,690","3,224,647","627,620","2,239,043","3,274,810","3,367,528","312,890","661,118","56,280","136,952","8,016,650","125,131,279","5,066,840","9,416,728","2,503,240","2,771,268","6,110,640","17,036,413","7,907,280","30,917,033","5,349,390","36,750,067","5,850,480","14,089,611","32,494,620","632,218,827","32,275,060","77,777,928","8,910","32,529","13,763,180","12,237,365","894,790","191,266","1,596,770","918,032","2,899,190","2,871,895","3,862,120","690,298","8,005,140","7,351,385","438,510","142,080","3,075,670","6,424,943","33,118,850","141,716,356","7,300,010","13,538,440","6,037,390","11,388,450","6,364,680","9,796,933","2,111,520","1,806,326","26,306,430","65,540,918","27,698,800","72,744,070","4,672,560","6,952,460","28,656,640","75,150,250"
US,5,"19,113,420","6,794,810","9,679,050","2,173,730","10,958,450","42,409,720","13,631,700","1,175,834,134","19,113,420","1,190,204,911","16,615,420","911,470,386","7,853,130","8,196,051","4,125,280","13,702,117","3,711,430","9,107,361","4,559,870","3,472,667","2,870,030","28,641,597","3,146,950","5,998,761","2,247,310","28,905,782","4,746,000","110,855,851","320,780","1,614,180","10,323,008","3,808,260","54,397,187","1,015,130","9,886,410","5,689,530","14,370,593","797,290","197,457","71,150","684,370","523,360","2,891,802","534,000","2,266,024","2,378,860","2,264,134","335,890","667,184","66,610","192,054","8,663,510","158,543,984","6,426,210","19,306,346","1,941,510","2,718,836","7,341,760","22,718,724","8,618,460","46,577,266","6,581,460","50,120,208","6,881,930","19,080,355","19,000,360","758,862,014","18,942,770","107,561,495","33,750","58,520","8,047,300","11,880,034","1,019,230","289,103","1,122,430","602,459","1,760,480","2,168,982","902,640","146,979","5,349,120","8,323,225","504,330","199,623","2,083,860","5,038,427","18,811,120","135,096,091","8,030",236,"5,810",170,"855,470","1,156,016","1,313,450","1,194,713","18,040,930","95,681,783","18,306,510","101,665,644","4,150,070","8,960,069","14,480,150","41,187,793"
US,6,"12,138,470","2,669,520","8,480,570","791,590","7,059,580","30,321,390","9,707,610","1,050,206,935","12,138,470","1,062,105,520","10,681,560","802,552,766","6,342,840","7,301,932","3,550,970","13,341,650","3,229,300","9,210,074","4,226,230","3,834,271","2,063,550","24,975,239","2,737,710","7,757,683","1,738,570","29,982,525","3,427,220","99,480,185","247,750","945,840","6,176,890","2,562,320","47,898,567","920,960","12,215,925","3,788,230","11,898,625","679,440","178,674","79,820","905,199","397,190","2,444,231","401,170","1,873,493","1,359,020","1,518,374","133,040","253,120","66,440","217,905","7,519,480","159,586,525","5,966,940","25,540,695","1,365,110","2,331,508","6,669,550","23,634,087","7,497,650","53,252,620","6,046,000","52,717,451","6,294,810","19,851,248","12,106,260","730,885,331","12,078,970","109,154,403","79,350","134,717","5,636,190","9,469,942","952,780","345,801","978,900","542,613","1,362,390","1,755,803",0,0,"3,800,380","6,427,799","423,800","200,715","1,523,720","4,299,541","11,999,600","127,976,969",0,0,0,0,"103,490","146,817","987,600","924,896","11,953,860","99,686,275","12,000,640","105,037,372","2,932,860","8,386,610","8,828,820","30,158,199"
US,7,"15,587,490","2,113,860","12,756,470","558,940","9,286,820","42,962,970","14,625,610","2,091,248,402","15,587,490","2,118,006,033","14,027,140","1,593,612,822","10,206,360","15,468,487","6,510,150","34,201,531","6,030,740","24,973,255","6,955,160","8,335,105","3,043,030","61,930,314","5,313,640","30,138,620","2,396,560","62,871,544","4,414,960","166,381,093","328,540","937,520","6,498,603","2,878,440","60,985,285","2,009,840","51,391,530","5,762,170","26,757,081","1,081,410","289,848","274,430","4,442,570","755,060","5,684,329","564,720","3,007,046","1,583,170","1,609,354","534,360","1,035,153","155,250","762,359","12,706,290","344,632,242","10,490,960","74,509,018","1,988,980","4,370,573","11,689,790","54,912,502","12,688,120","137,392,640","10,545,510","110,185,634","11,305,520","45,110,012","15,563,760","1,561,197,904","15,545,170","276,366,731","651,360","1,509,847","7,400,810","10,640,278","2,053,110","1,486,138","1,592,970","882,318","1,684,270","2,441,252",0,0,"3,458,680","4,749,488","668,220","422,321","2,372,690","9,423,654","15,432,410","298,326,530",0,0,0,0,"25,290","37,976","1,569,940","1,545,031","15,493,750","265,727,260","15,515,150","277,319,314","5,232,200","25,282,885","9,648,610","41,902,355"
US,8,"4,181,040","457,410","3,586,420","99,680","2,964,180","12,163,520","4,398,680","1,190,975,341","4,181,040","1,213,870,933","3,723,280","809,690,305","3,478,140","13,059,363","2,736,050","34,954,893","2,603,990","27,172,628","1,478,500","3,370,382","1,037,170","58,501,620","2,574,260","55,033,614","705,220","33,763,133","980,180","49,760,453","110,580","143,920","1,100,642","692,280","16,504,224","1,328,940","108,094,549","1,557,990","22,895,441","149,910","38,069","282,600","7,873,980","497,010","5,064,533","99,400","864,266",0,0,0,0,"125,860","1,352,854","3,955,750","181,335,931","3,280,640","55,662,504","625,100","1,943,554","3,655,450","28,703,418","3,951,190","88,102,189","3,110,880","47,634,420","3,652,790","26,983,944","4,175,070","962,408,596","4,175,640","236,662,927","2,830,750","17,130,711","1,745,340","4,447,410","1,233,070","3,507,213","410,620","220,634",0,0,0,0,"1,960","1,819","163,910","178,183","1,023,540","7,244,685","4,122,560","230,665,064",0,0,0,0,20,38,0,0,"4,165,550","232,215,684","4,167,970","240,694,745","2,092,710","29,797,906","1,584,580","12,349,722"
US,9,"700,970","78,860","597,230","16,550","599,860","2,099,810","802,360","474,618,768","700,970","484,491,294","595,690","257,953,277","659,620","7,461,150","567,540","20,840,364","547,230","16,676,257","174,360","1,035,706","190,330","20,879,603","575,950","48,111,097","122,690","10,141,862","124,880","6,982,610","24,580","11,400","94,242","117,270","2,964,936","406,750","92,029,753","352,730","9,872,519","8,550","2,085","86,830","3,651,765","149,750","1,866,690","19,590","181,660",0,0,0,0,"51,050","1,256,770","677,060","61,869,081","559,040","24,087,527","110,490","394,104","631,510","8,211,547","675,820","33,748,695","484,610","10,033,716","639,210","11,468,422","699,740","404,018,483","700,350","117,289,434","497,810","6,828,374","407,120","3,511,890","343,380","3,057,875","45,550","26,916",0,0,0,0,0,0,"20,160","49,719","243,460","2,710,505","690,180","111,134,475",0,0,0,0,0,0,0,0,"698,160","113,777,545","698,500","116,714,871","364,890","14,903,158","166,850","3,514,726"
